,accuracy,f1_score,epoch
0,0.9283333420753479,0.9307568438003221,1
1,0.9533333778381348,0.9569230769230769,2
2,0.9383333325386047,0.9422776911076443,3
3,0.9416666626930237,0.9457364341085271,4
4,0.9300000071525574,0.932258064516129,5
5,0.92166668176651,0.9238249594813613,6
6,0.9466667175292969,0.9510703363914373,7
7,0.9316666722297668,0.9344,8
8,0.9500000476837158,0.953125,9
9,0.9366666674613953,0.94311377245509,10
