,step,loss_step
342,1750,"tensor(0.7000, device='cuda:0')"
343,1750,"tensor(0.7000, device='cuda:0')"
344,1750,"tensor(0.7000, device='cuda:0')"
345,1750,"tensor(0.7000, device='cuda:0')"
346,1750,"tensor(0.7000, device='cuda:0')"
347,1750,"tensor(0.7000, device='cuda:0')"
348,1750,"tensor(0.7000, device='cuda:0')"
349,1750,"tensor(0.7000, device='cuda:0')"
350,1750,"tensor(0.7000, device='cuda:0')"
351,1750,"tensor(0.7000, device='cuda:0')"
352,1750,"tensor(0.7000, device='cuda:0')"
353,1750,"tensor(0.7000, device='cuda:0')"
354,1750,"tensor(0.7000, device='cuda:0')"
355,1750,"tensor(0.7000, device='cuda:0')"
356,1750,"tensor(0.7000, device='cuda:0')"
357,1750,"tensor(0.7000, device='cuda:0')"
358,1750,"tensor(0.7000, device='cuda:0')"
359,1750,"tensor(0.7000, device='cuda:0')"
360,1750,"tensor(0.7000, device='cuda:0')"
361,1750,"tensor(0.7000, device='cuda:0')"
362,1750,"tensor(0.7000, device='cuda:0')"
363,1750,"tensor(0.7000, device='cuda:0')"
364,1750,"tensor(0.7000, device='cuda:0')"
365,1750,"tensor(0.7000, device='cuda:0')"
366,1750,"tensor(0.7000, device='cuda:0')"
367,1750,"tensor(0.7000, device='cuda:0')"
368,1750,"tensor(0.7000, device='cuda:0')"
369,1750,"tensor(0.7000, device='cuda:0')"
370,1750,"tensor(0.7000, device='cuda:0')"
371,1750,"tensor(0.7000, device='cuda:0')"
372,1750,"tensor(0.7000, device='cuda:0')"
373,1750,"tensor(0.7000, device='cuda:0')"
374,1750,"tensor(0.7000, device='cuda:0')"
375,1750,"tensor(0.7000, device='cuda:0')"
376,1750,"tensor(0.7000, device='cuda:0')"
377,1750,"tensor(0.7000, device='cuda:0')"
378,1750,"tensor(0.7000, device='cuda:0')"
379,1750,"tensor(0.7000, device='cuda:0')"
